시도명	시군구명	납부필증사용대상	납부필증유형	관리부서명	관리부서전화번호	데이터기준일자	제공기관코드	제공기관명
울산광역시	북구	사업장용	납부필증	환경미화과	052-241-7813	2019-09-10	3720000	울산광역시 북구
경상북도	의성군	기타	전용용기	환경과	054-830-6571	2019-01-31	5150000	경상북도 의성군
서울특별시	송파구	단독주택	납부필증	자원순환과	02-2147-2840	2020-02-17	3230000	서울특별시 송파구
서울특별시	송파구	사업장용	납부필증	자원순환과	02-2147-2840	2020-02-17	3230000	서울특별시 송파구
경상남도	진주시	단독주택	납부필증	청소과	055-749-5343	2019-10-16	5310000	경상남도 진주시
충청북도	제천시	사업장용	기타	도시미화과	043-641-6443	2019-06-19	4400000	충청북도 제천시
부산광역시	남구	단독주택	납부필증	청소행정과	051-607-4435	2019-08-28	3310000	부산광역시 남구
서울특별시	서대문구	사업장용	납부필증	청소행정과	02-330-1530	2019-07-18	3120000	서울특별시 서대문구
서울특별시	서대문구	공동주택	납부필증	청소행정과	02-330-1530	2019-07-18	3120000	서울특별시 서대문구
광주광역시	동구	단독주택	납부필증	환경청소과	062-608-2523	2019-04-04	6290000	광주광역시
광주광역시	동구	사업장용	납부필증	환경청소과	062-608-2523	2019-04-04	6290000	광주광역시
광주광역시	서구	단독주택	납부필증	청소행정과	062-360-7323	2019-04-04	6290000	광주광역시
광주광역시	서구	사업장용	납부필증	청소행정과	062-360-7323	2019-04-04	6290000	광주광역시
광주광역시	남구	단독주택	납부필증	환경생태과	062-607-3632	2019-04-04	6290000	광주광역시
광주광역시	남구	사업장용	납부필증	환경생태과	062-607-3632	2019-04-04	6290000	광주광역시
광주광역시	북구	단독주택	납부필증	청소행정과	062-410-6511	2019-04-04	6290000	광주광역시
광주광역시	북구	사업장용	납부필증	청소행정과	062-410-6511	2019-04-04	6290000	광주광역시
광주광역시	광산구	단독주택	납부필증	청소행정과	062-960-8477	2019-04-04	6290000	광주광역시
광주광역시	광산구	사업장용	납부필증	청소행정과	062-960-8477	2019-04-04	6290000	광주광역시
전라남도	순천시	기타	납부필증	청소자원과	061-749-6403	2019-08-29	4820000	전라남도 순천시
경기도	이천시	단독주택	기타	자원관리과	031-644-2602	2020-02-12	4070000	경기도 이천시
경기도	이천시	공동주택	기타	자원관리과	031-644-2602	2020-02-12	4070000	경기도 이천시
경기도	이천시	공동주택	기타	자원관리과	031-644-2602	2020-02-12	4070000	경기도 이천시
경기도	이천시	기타	기타	자원관리과	031-644-2602	2020-02-12	4070000	경기도 이천시
경기도	고양시	단독주택	납부필증	청소행정과	031-8075-2695	2019-02-27	3940000	경기도 고양시
경상남도	김포시	기타	기타	청소행정과	055-330-3406	2019-03-25	5350000	경상남도 김해시
인천광역시	계양구	공동주택	납부필증	청소행정과	032-450-5454	2019-04-24	3550000	인천광역시 계양구
인천광역시	서구	단독주택	납부필증	자원순환과	032-560-4412	2019-08-07	3560000	인천광역시 서구
인천광역시	서구	단독주택	김장전용봉투	자원순환과	032-560-4412	2019-08-07	3560000	인천광역시 서구
인천광역시	서구	청라지역	음식물류폐기물 전용봉투	자원순환과	032-560-4412	2019-08-07	3560000	인천광역시 서구
부산광역시	수영구	단독주택	납부필증	자원순환과	051-610-4451	2020-01-14	3380000	부산광역시 수영구
부산광역시	수영구	사업장용	납부필증	자원순환과	051-610-4451	2020-01-14	3380000	부산광역시 수영구
부산광역시	수영구	공동주택	납부필증	자원순환과	051-610-4451	2020-01-14	3380000	부산광역시 수영구
전라북도	임실군	사업장용	기타	환경보호과	063-640-2393	2019-05-01	4760000	전라북도 임실군
전라북도	임실군	기타	기타	환경보호과	063-640-2393	2019-05-01	4760000	전라북도 임실군
충청남도	예산군	공동주택/소형음식점/기타	전용용기	환경과	041-339-7523	2019-12-10	4610000	충청남도 예산군
경기도	하남시	단독주택	납부필증	자원순환과	031-790-6251	2019-04-15	4040000	경기도 하남시
인천광역시	중구	단독주택+사업장용	납부필증	자원순환과	032-760-7794	2019-05-31	3490000	인천광역시 중구
서울특별시	광진구	단독주택	납부필증	청소과	02-450-7627	2019-02-26	3040000	서울특별시 광진구
서울특별시	광진구	공동주택	납부필증	청소과	02-450-7627	2019-02-26	3040000	서울특별시 광진구
서울특별시	광진구	사업장용	납부필증	청소과	02-450-7627	2019-02-26	3040000	서울특별시 광진구
충청남도	청양군	단독주택	납부필증	환경보호과	041-940-2253	2019-06-10	4590000	충청남도 청양군
전라북도	진안군	단독주택	전용용기	환경산림과	063-430-2339	2019-06-05	4730000	전라북도 진안군
전라남도	함평군	단독주택	전용용기	환경상하수도과	061-320-1833	2019-08-06	4960000	전라남도 함평군
